mesocosm,depth_cm,depth_abstract,type,olivine_size,Oltreat,plant,plant_yesno,Al_ppm,Ba_ppm,Co_ppm,Cr_ppm,Fe_ppm,Mg_ppm,Mn_ppm,Ni_ppm,Sr_ppm,Zn_ppm
7,-18,bottom,mesocosm,none,ol_no,Wheat,plant_yes,16765.2811578688,243.702621841545,7.75162231208389,46.9040711727696,10439.1674667115,823.53504426492,205.227959787379,6.35307780003713,69.817991464575,51.8071769863822
8,-2,surface,mesocosm,none,ol_no,Wheat,plant_yes,15186.5126887394,254.250762571046,9.42687777664209,51.1347731913539,12338.075660488,911.60861113768,260.477997995919,7.71137521002143,72.8793757222909,74.5383620578108
8,-10,middle,mesocosm,none,ol_no,Wheat,plant_yes,15995.8424295982,247.904740870946,7.87606429037062,46.7518100605559,10563.77941586,758.315653948106,234.010181240759,6.3227690636215,73.2689885103142,53.3768407168942
8,-18,bottom,mesocosm,none,ol_no,Wheat,plant_yes,17819.5856456545,238.134992489123,7.66649163661833,50.3599186232696,10851.9316201251,830.539991730216,226.413598360555,6.45244181605551,60.7620574976336,52.5678680222089
9,-2,surface,mesocosm,coarse,ol_yes,Barley,plant_yes,26923.1837025354,211.589426272363,18.3448002588451,171.85666051502,16833.6368215521,45036.4713273676,366.467000233425,264.522272191444,81.5207498048118,50.2457997132059
9,-10,middle,mesocosm,coarse,ol_yes,Barley,plant_yes,14496.0913128495,235.268785459103,7.04794183888522,47.7058443281662,10378.0987992007,950.643344115449,172.649559713942,7.40574942978681,62.0166911056887,46.5411177474863
9,-18,bottom,mesocosm,coarse,ol_yes,Barley,plant_yes,12920.17880659,226.943617467963,6.86323056908372,50.0182845461437,9772.19728566962,644.485498596107,190.142266990232,6.01305987486355,61.2942068966219,54.2704692644792
10,-2,surface,mesocosm,fine,ol_yes,Barley,plant_yes,30899.6203118589,220.720141918451,25.4282669517172,464.155033674411,18962.8190945242,67852.5979239447,409.062001008842,414.711929295032,86.6357405963754,51.0078682069823
10,-10,middle,mesocosm,fine,ol_yes,Barley,plant_yes,15001.8823272014,230.567427674306,8.27161005501982,58.1964077982166,12620.2470985447,1388.17542942375,256.252779860867,9.97083266383197,68.1818990351969,73.949032905528
10,-18,bottom,mesocosm,fine,ol_yes,Barley,plant_yes,23811.1767686402,273.010123231582,7.37065684397306,51.3449787585859,13912.0353031472,1478.16762846987,251.31482411871,8.6108628242252,77.0452646556193,50.4046571567192
11,-2,surface,mesocosm,fine,ol_yes,Barley,plant_yes,26628.9625134388,203.994565355945,23.2329949163144,438.61090885502,21663.757381095,61485.6844015583,980.823961877217,380.184855833161,74.1602774017227,48.2351387450707
11,-10,middle,mesocosm,fine,ol_yes,Barley,plant_yes,24646.3659044522,234.341727926581,7.74977248539704,45.8652346611709,10902.5473864898,1788.65737764097,238.841924982879,10.3055719959104,66.9339731258691,52.3511876318631
